date,total_pc,equity_pc,index_pc,source
2006-11-01,0.9075,0.6389,,csv
2006-11-02,0.9038,0.6083,,csv
2006-11-03,0.9092,0.6374,,csv
2006-11-06,0.762,0.5541,,csv
2006-11-07,0.7917,0.5683,,csv
2006-11-08,0.7763,0.6773,,csv
2006-11-09,0.8369,0.609,,csv
2006-11-10,1.0565,0.7912,,csv
2006-11-13,0.7964,0.5892,,csv
2006-11-14,0.8235,0.5756,,csv
2006-11-15,0.8263,0.5157,,csv
2006-11-16,0.7816,0.5348,,csv
2006-11-17,0.7829,0.4731,,csv
2006-11-20,0.8605,0.5394,,csv
2006-11-21,1.0338,0.6178,,csv
2006-11-22,0.8875,0.6334,,csv
2006-11-24,1.0578,0.5217,,csv
2006-11-27,1.2745,0.6827,,csv
2006-11-28,0.933,0.6452,,csv
2006-11-29,0.6733,0.5296,,csv
2006-11-30,0.7732,0.5795,,csv
2006-12-01,0.9114,0.5887,,csv
2006-12-04,0.8643,0.6399,,csv
2006-12-05,0.7602,0.5653,,csv
2006-12-06,0.8422,0.5375,,csv
2006-12-07,0.8923,0.6891,,csv
2006-12-08,0.7854,0.5522,,csv
2006-12-11,0.7222,0.5668,,csv
2006-12-12,0.9605,0.6995,,csv
2006-12-13,0.8743,0.5679,,csv
2006-12-14,0.6098,0.4495,,csv
2006-12-15,0.735,0.4987,,csv
2006-12-18,1.0939,0.5875,,csv
2006-12-19,0.9616,0.6695,,csv
2006-12-20,0.8488,0.5442,,csv
2006-12-21,0.7906,0.4462,,csv
2006-12-22,1.1052,0.6599,,csv
2006-12-26,0.8394,0.6198,,csv
2006-12-27,0.8495,0.6769,,csv
2006-12-28,0.9592,0.7287,,csv
2006-12-29,0.8793,0.5353,,csv
2007-01-03,0.8694,0.5949,,csv
2007-01-04,0.8199,0.511,,csv
2007-01-05,0.8978,0.5945,,csv
2007-01-08,0.8583,0.711,,csv
2007-01-09,0.7896,0.6689,,csv
2007-01-10,0.8092,0.5758,,csv
