date,stance,score
2026-06-21,偏积极,0.229
2026-06-22,偏积极,0.205
2026-06-23,偏积极,0.131
2026-06-24,偏积极,0.138
2026-06-26,偏积极,0.152
2026-06-29,偏积极,0.187
2026-06-30,偏积极,0.222
2026-07-01,偏积极,0.272
2026-07-02,偏积极,0.263
2026-07-03,偏积极,0.279
2026-07-07,偏积极,0.284
2026-07-08,偏积极,0.199
2026-07-09,偏积极,0.259
2026-07-10,偏积极,0.282
2026-07-13,偏积极,0.258
2026-07-14,偏积极,0.239
2026-07-15,偏积极,0.268
2026-07-16,偏积极,0.274
2026-07-17,偏积极,0.2
2026-07-20,偏积极,0.188
2026-07-21,偏积极,0.209
2026-07-22,偏积极,0.217
2026-07-23,偏积极,0.158
2026-07-28,偏积极,0.175
2026-07-29,偏积极,0.135
2026-07-30,偏积极,0.168
2026-07-31,偏积极,0.211
2026-08-03,偏积极,0.267
2026-08-04,偏积极,0.258
2026-08-05,偏积极,0.243
2026-08-06,偏积极,0.279
2026-08-07,偏积极,0.288
2026-08-10,偏积极,0.288
2026-08-11,偏积极,0.275
2026-08-12,偏积极,0.303
2026-08-13,偏积极,0.308
2026-08-14,偏积极,0.305
2026-08-17,偏积极,0.271
2026-08-18,偏积极,0.249
2026-08-19,偏积极,0.275
2026-08-20,偏积极,0.253
2026-08-21,偏积极,0.282
2026-08-24,偏积极,0.26
2026-08-25,偏积极,0.265
2026-08-26,偏积极,0.27
2026-08-27,偏积极,0.289
2026-08-28,偏积极,0.315
2026-08-29,偏积极,0.321
2026-08-31,偏积极,0.294
2026-09-01,偏积极,0.281
2026-09-02,偏积极,0.22
2026-09-03,偏积极,0.29
2026-09-04,偏积极,0.315
2026-09-06,偏积极,0.299
2026-09-07,偏积极,0.271
2026-09-08,偏积极,0.264
