report_date,market,source,noncomm_net,noncomm_net_pct_oi,lev_funds_net,open_interest,usable_from
1997-09-16,sp500,legacy,841,11.0979,,7578,1997-09-22
1997-09-23,sp500,legacy,1070,18.8248,,5684,1997-09-29
1997-09-30,sp500,legacy,116,1.9748,,5874,1997-10-06
1997-10-07,sp500,legacy,2035,27.6194,,7368,1997-10-13
1997-10-14,sp500,legacy,3221,33.4198,,9638,1997-10-20
1997-10-21,sp500,legacy,6077,47.5285,,12786,1997-10-27
1997-10-28,sp500,legacy,6260,41.8253,,14967,1997-11-03
1997-11-04,sp500,legacy,7574,48.6917,,15555,1997-11-10
1997-11-11,sp500,legacy,8845,55.9881,,15798,1997-11-17
1997-11-18,sp500,legacy,9985,58.6249,,17032,1997-11-24
1997-11-25,sp500,legacy,9964,58.1093,,17147,1997-12-02
1997-12-02,sp500,legacy,10019,57.6832,,17369,1997-12-08
1997-12-09,sp500,legacy,11549,61.2289,,18862,1997-12-15
1997-12-16,sp500,legacy,11540,56.0602,,20585,1997-12-22
1997-12-19,sp500,legacy,548,2.7223,,20130,1997-12-26
1998-01-13,sp500,legacy,-69,-0.8112,,8506,1998-01-20
1998-01-20,sp500,legacy,-340,-4.0275,,8442,1998-01-26
1998-01-27,sp500,legacy,-2710,-24.7579,,10946,1998-02-02
1998-02-03,sp500,legacy,-2728,-22.6522,,12043,1998-02-09
1998-02-10,sp500,legacy,-4338,-30.5751,,14188,1998-02-17
1998-02-17,sp500,legacy,-4651,-31.0253,,14991,1998-02-23
1998-02-24,sp500,legacy,-8691,-50.3651,,17256,1998-03-02
1998-03-03,sp500,legacy,-7158,-39.2219,,18250,1998-03-09
1998-03-10,sp500,legacy,-8487,-41.6826,,20361,1998-03-16
1998-03-17,sp500,legacy,-8805,-39.9356,,22048,1998-03-23
1998-03-24,sp500,legacy,1038,12.8944,,8050,1998-03-30
1998-03-31,sp500,legacy,461,4.9448,,9323,1998-04-06
1998-04-07,sp500,legacy,-2987,-28.4043,,10516,1998-04-14
1998-04-14,sp500,legacy,-2981,-26.0851,,11428,1998-04-20
1998-04-21,sp500,legacy,-2717,-21.3685,,12715,1998-04-27
1998-04-28,sp500,legacy,-5010,-35.3764,,14162,1998-05-04
1998-05-05,sp500,legacy,-6337,-43.5682,,14545,1998-05-11
1998-05-12,sp500,legacy,-7803,-49.5177,,15758,1998-05-18
1998-05-19,sp500,legacy,-7428,-43.6556,,17015,1998-05-26
1998-05-26,sp500,legacy,-8085,-44.5013,,18168,1998-06-01
1998-06-02,sp500,legacy,-9254,-46.8154,,19767,1998-06-08
1998-06-09,sp500,legacy,-10699,-50.7543,,21080,1998-06-15
1998-06-16,sp500,legacy,-2027,-13.9581,,14522,1998-06-22
1998-06-23,sp500,legacy,1206,16.1467,,7469,1998-06-29
1998-06-30,sp500,legacy,-3293,-33.2291,,9910,1998-07-07
1998-07-14,sp500,legacy,-186,-2.4606,,7559,1998-07-20
1998-07-21,sp500,legacy,-468,-5.1661,,9059,1998-07-27
1998-07-28,sp500,legacy,653,7.737,,8440,1998-08-03
1998-08-04,sp500,legacy,1146,12.3451,,9283,1998-08-10
1998-08-11,sp500,legacy,2376,21.7264,,10936,1998-08-17
1998-08-18,sp500,legacy,649,6.3665,,10194,1998-08-24
1998-08-25,sp500,legacy,697,5.4305,,12835,1998-08-31
1998-09-01,sp500,legacy,-2689,-16.779,,16026,1998-09-08
1998-09-08,sp500,legacy,392,2.5417,,15423,1998-09-14
1998-09-15,sp500,legacy,470,2.7299,,17217,1998-09-21
1998-10-06,sp500,legacy,-735,-5.183,,14181,1998-10-12
1998-10-13,sp500,legacy,-839,-6.965,,12046,1998-10-19
1998-10-20,sp500,legacy,-66,-0.5325,,12394,1998-10-26
