filed_date,ticker,insider,title,txn_date,shares,value,entry_date,entry_px,exit_date,exit_px,fwd_pct,spy_pct,excess_pct,hit,settled,dropped
2026-06-25,KARD,"ARCH Venture Partners XIII, LLC",isDirector/isTenPercentOwner,2026-06-22,1250000.0,20000000.0,,,,,,,,,False,False
2026-06-25,KARD,BERNS PAUL L,isDirector/isTenPercentOwner,2026-06-22,1250000.0,20000000.0,,,,,,,,,False,False
2026-06-25,BX,Blackstone Private Multi-Asset Credit & Income Fund,isTenPercentOwner,2026-06-23,765110.941,20000000.0,,,,,,,,,False,False
2026-06-25,TAKAX,THRIVENT FINANCIAL FOR LUTHERANS,,2026-06-23,200000.0,5000000.0,,,,,,,,,False,False
2026-06-25,PSEC,Barry John F,CHIEF EXECUTIVE OFFICER,2026-06-22,1000000.0,2246300.0,,,,,,,,,False,False
2026-06-25,AMS,Stachowiak Raymond C,Executive Chairman,2026-06-22,586468.0,1337147.04,,,,,,,,,False,False
2026-06-25,KMX,Barr Keith,President and CEO,2026-06-22,9400.0,498247.0,,,,,,,,,False,False
2026-06-25,CRT,OLIVER ERIC L,isTenPercentOwner,2026-06-23,34596.0,300293.28,,,,,,,,,False,False
2026-06-25,CRT,OLIVER ERIC L,isTenPercentOwner,2026-06-22,20968.0,181373.2,,,,,,,,,False,False
2026-06-25,FTH,STEPHENSON BRIAN C,Chief Financial Officer,2026-06-23,6836.0,164884.32,,,,,,,,,False,False
2026-06-25,F,THORNTON JOHN L,isDirector,2026-06-23,10600.0,148880.18,,,,,,,,,False,False
2026-06-25,COR,Tyler Lauren M,isDirector,2026-06-22,550.0,148626.5,,,,,,,,,False,False
2026-06-25,KMX,Bensen Peter J,isDirector,2026-06-22,2500.0,130500.0,,,,,,,,,False,False
2026-06-25,BCIC,Goldthorpe Edward J.,"President, CEO",2026-06-22,13738.0,98364.08,,,,,,,,,False,False
2026-06-25,ADTX,HRT FINANCIAL LP,isTenPercentOwner,2026-06-18,7340178.0,95422.31,,,,,,,,,False,False
2026-06-25,CSR,Jones-Tyson Rodney,isDirector,2026-06-22,1700.0,93942.0,,,,,,,,,False,False
2026-06-25,TOI,Chernett Jorey,isTenPercentOwner,2026-06-23,18000.0,90360.0,,,,,,,,,False,False
2026-06-25,AXR,DAHL JAMES H,isTenPercentOwner,2026-06-22,3075.0,78666.8,,,,,,,,,False,False
2026-06-25,FTH,STEPHENSON BRIAN C,Chief Financial Officer,2026-06-22,3329.0,77499.12,,,,,,,,,False,False
2026-06-25,BCDA,STERTZER SIMON H,isDirector,2026-06-22,70200.0,64584.0,,,,,,,,,False,False
2026-06-25,FTH,Parikh Anand Kiran,President and CEO,2026-06-22,2806.0,55446.56,,,,,,,,,False,False
2026-06-26,PSEC,Barry John F,CHIEF EXECUTIVE OFFICER,2026-06-23,1000000.0,2274500.0,,,,,,,,,False,False
2026-06-26,PSEC,Barry John F,CHIEF EXECUTIVE OFFICER,2026-06-23,67648.0,153567.72,,,,,,,,,False,False
2026-06-26,EPSN,Stabell Jason,Chief Executive Officer,2026-06-24,21800.0,114886.0,,,,,,,,,False,False
2026-06-26,LILA,BRACKEN CHARLES H R,isDirector,2026-06-23,4900.0,100450.0,,,,,,,,,False,False
2026-06-26,LILA,BRACKEN CHARLES H R,isDirector,2026-06-24,4900.0,100450.0,,,,,,,,,False,False
2026-06-26,EPSN,Stabell Jason,Chief Executive Officer,2026-06-22,18600.0,99324.0,,,,,,,,,False,False
2026-06-26,NMM,Frangou Angeliki,See Remarks,2026-06-23,1159.0,84240.18,,,,,,,,,False,False
2026-06-26,NMM,Frangou Angeliki,See Remarks,2026-06-24,1148.0,82587.01,,,,,,,,,False,False
2026-06-26,NMM,Frangou Angeliki,See Remarks,2026-06-25,1170.0,82134.82,,,,,,,,,False,False
2026-06-26,SCM,Arnoult J Tim,isDirector,2026-05-19,9000.0,81450.0,2026-05-22,8.9684,2026-06-18,8.35,-6.895,0.406,-7.3,False,True,False
2026-06-26,LNKS,HRT FINANCIAL LP,isTenPercentOwner,2026-06-23,32502.0,76054.68,,,,,,,,,False,False
2026-06-26,HNRG,Hudson Daniel Timothy,isDirector,2026-06-24,3000.0,51120.0,,,,,,,,,False,False
