pick_date,symbol,view,mom_pct,entry_date,entry_px,exit_date,exit_px,ret_pct,bench_pct,excess_pct,call_excess_pct,hit,settled,dropped
2026-06-26,SNDK,看好,868.7,,,,,,,,,,False,False
2026-06-26,MU,看好,339.1,,,,,,,,,,False,False
2026-06-26,INTC,看好,265.3,,,,,,,,,,False,False
2026-06-26,MSFT,看淡,-26.9,,,,,,,,,,False,False
2026-06-26,NFLX,看淡,-24.0,,,,,,,,,,False,False
2026-06-26,HOOD,看淡,-23.6,,,,,,,,,,False,False
2026-06-26,KO,看好,16.1,,,,,,,,,,False,False
2026-06-26,COST,看好,11.2,,,,,,,,,,False,False
2026-06-26,BRK-B,看好,-2.4,,,,,,,,,,False,False
2026-06-26,TSLA,看淡,-23.2,,,,,,,,,,False,False
2026-06-26,META,看淡,-17.8,,,,,,,,,,False,False
2026-06-29,KO,看好,19.6,,,,,,,,,,False,False
2026-06-29,COST,看好,9.1,,,,,,,,,,False,False
2026-06-29,BRK-B,看好,-1.1,,,,,,,,,,False,False
2026-06-29,HOOD,看淡,-15.7,,,,,,,,,,False,False
2026-06-29,TSLA,看淡,-16.8,,,,,,,,,,False,False
2026-06-29,META,看淡,-15.3,,,,,,,,,,False,False
