txn_date,followable_date,ticker,side,amount,senator,owner
2012-09-13,2012-10-28,DD,buy,"$1,001 - $15,000",Thomas R Carper,Spouse
2012-12-17,2013-01-31,DD,buy,"$1,001 - $15,000",Thomas R Carper,Spouse
2013-03-15,2013-04-29,DD,buy,"$1,001 - $15,000",Thomas R Carper,Spouse
2013-06-13,2013-07-28,DD,buy,"$1,001 - $15,000",Thomas R Carper,Spouse
2013-09-13,2013-10-28,DD,buy,"$1,001 - $15,000",Thomas R Carper,Spouse
2013-12-16,2014-01-30,DD,buy,"$1,001 - $15,000",Thomas R Carper,Spouse
2014-03-13,2014-04-27,KLXI,buy,"$1,001 - $15,000",Sheldon Whitehouse,Self
2014-03-14,2014-04-28,DD,buy,"$1,001 - $15,000",Thomas R Carper,Spouse
2014-04-29,2014-06-13,LINE,sell,"$1,001 - $15,000",Patrick J Toomey,Joint
2014-06-13,2014-07-28,DD,buy,"$1,001 - $15,000",Thomas R Carper,Spouse
2014-06-18,2014-08-02,KLXI,buy,"$1,001 - $15,000",Sheldon Whitehouse,Self
2014-09-15,2014-10-30,DD,buy,"$1,001 - $15,000",Thomas R Carper,Spouse
2014-12-10,2015-01-24,MDDVX,buy,"$1,001 - $15,000",Susan M Collins,Spouse
2014-12-10,2015-01-24,MDDVX,buy,"$1,001 - $15,000",Susan M Collins,Spouse
2014-12-11,2015-01-25,WASCX,buy,"$1,001 - $15,000",Susan M Collins,Spouse
2014-12-11,2015-01-25,DVFAX,buy,"$1,001 - $15,000",Susan M Collins,Spouse
2014-12-11,2015-01-25,MIK,buy,"$1,001 - $15,000",Pat Roberts,Spouse
2014-12-12,2015-01-26,XOM,sell,"$1,001 - $15,000",Pat Roberts,Spouse
2014-12-12,2015-01-26,BAC,sell,"$1,001 - $15,000",Pat Roberts,Spouse
2014-12-15,2015-01-29,DD,buy,"$1,001 - $15,000",Thomas R Carper,Spouse
2014-12-15,2015-01-29,TOLLX,sell,"$1,001 - $15,000",Susan M Collins,Spouse
2014-12-18,2015-02-01,TOLLX,buy,"$1,001 - $15,000",Susan M Collins,Spouse
2014-12-19,2015-02-02,BA,buy,"$1,001 - $15,000",Pat Roberts,Spouse
2014-12-31,2015-02-14,CVX,buy,"$15,001 - $50,000",Patrick J Toomey,Joint
2015-01-02,2015-02-16,TCS,buy,"$1,001 - $15,000",Pat Roberts,Spouse
2015-01-02,2015-02-16,TWTR,buy,"$1,001 - $15,000",Pat Roberts,Spouse
2015-01-05,2015-02-19,SHY,buy,"$15,001 - $50,000",Patrick J Toomey,Joint
2015-01-05,2015-02-19,PCY,sell,"$15,001 - $50,000",Patrick J Toomey,Joint
2015-01-06,2015-02-20,FCX,sell,"$50,001 - $100,000",John Hoeven,Self
2015-01-06,2015-02-20,COH,sell,"$50,001 - $100,000",John Hoeven,Self
2015-01-07,2015-02-21,AM,buy,"$1,001 - $15,000","David A Perdue , Jr",Joint
2015-01-08,2015-02-22,KN,buy,"$1,001 - $15,000","David A Perdue , Jr",Joint
2015-01-08,2015-02-22,AAN,sell,"$1,001 - $15,000","David A Perdue , Jr",Joint
2015-01-08,2015-02-22,AAN,sell,"$1,001 - $15,000","David A Perdue , Jr",Joint
2015-01-09,2015-02-23,CBS,buy,"$15,001 - $50,000","David A Perdue , Jr",Joint
2015-01-13,2015-02-27,AAN,sell,"$1,001 - $15,000","David A Perdue , Jr",Joint
2015-01-13,2015-02-27,BK,sell,"$1,001 - $15,000","David A Perdue , Jr",Joint
2015-01-13,2015-02-27,CBS,buy,"$1,001 - $15,000","David A Perdue , Jr",Joint
2015-01-13,2015-02-27,WCN,buy,"$1,001 - $15,000",Susan M Collins,Spouse
2015-01-13,2015-02-27,UL,buy,"$1,001 - $15,000",Susan M Collins,Spouse
2015-01-13,2015-02-27,MTD,buy,"$15,001 - $50,000",Susan M Collins,Spouse
2015-01-13,2015-02-27,CVS,buy,"$1,001 - $15,000",Susan M Collins,Spouse
2015-01-13,2015-02-27,ADP,sell,"$1,001 - $15,000",Susan M Collins,Spouse
2015-01-13,2015-02-27,AAPL,buy,"$1,001 - $15,000",Susan M Collins,Spouse
2015-01-13,2015-02-27,AXP,buy,"$1,001 - $15,000",Susan M Collins,Spouse
2015-01-14,2015-02-28,AR,buy,"$1,001 - $15,000","David A Perdue , Jr",Joint
2015-01-14,2015-02-28,CBS,buy,"$1,001 - $15,000","David A Perdue , Jr",Joint
2015-01-14,2015-02-28,WPX,buy,"$1,001 - $15,000","David A Perdue , Jr",Joint
2015-01-14,2015-02-28,ZTS,sell,"$1,001 - $15,000","David A Perdue , Jr",Joint
2015-01-14,2015-02-28,ETN,sell,"$1,001 - $15,000",Sheldon Whitehouse,Child
2015-01-14,2015-02-28,DD,sell,"$1,001 - $15,000",Sheldon Whitehouse,Joint
2015-01-14,2015-02-28,ETN,sell,"$15,001 - $50,000",Sheldon Whitehouse,Joint
2015-01-14,2015-02-28,AIG,sell,"$1,001 - $15,000",Sheldon Whitehouse,Self
2015-01-14,2015-02-28,KLXI,sell,"$1,001 - $15,000",Sheldon Whitehouse,Self
2015-01-15,2015-03-01,CLX,sell,"$1,001 - $15,000","David A Perdue , Jr",Joint
2015-01-15,2015-03-01,BPL,buy,"$1,001 - $15,000","David A Perdue , Jr",Joint
2015-01-16,2015-03-02,ZNGA,sell,"$1,001 - $15,000",Pat Roberts,Spouse
2015-01-16,2015-03-02,TCS,sell,"$1,001 - $15,000",Pat Roberts,Spouse
2015-01-16,2015-03-02,NFLX,sell,"$15,001 - $50,000",Pat Roberts,Spouse
2015-01-16,2015-03-02,NOG,buy,"$15,001 - $50,000",John Hoeven,Self
2015-01-16,2015-03-02,NOG,buy,"$15,001 - $50,000",John Hoeven,Self
2015-01-21,2015-03-07,KN,buy,"$1,001 - $15,000","David A Perdue , Jr",Joint
2015-01-22,2015-03-08,BCR,sell,"$1,001 - $15,000","David A Perdue , Jr",Joint
2015-01-22,2015-03-08,PNQI,buy,"$1,001 - $15,000",Thomas R Carper,Spouse
2015-01-23,2015-03-09,AAN,sell,"$1,001 - $15,000","David A Perdue , Jr",Joint
2015-01-23,2015-03-09,DHR,sell,"$15,001 - $50,000",Sheldon Whitehouse,Self
2015-01-23,2015-03-09,ACE,sell,"$15,001 - $50,000",Sheldon Whitehouse,Self
2015-01-23,2015-03-09,GILD,buy,"$15,001 - $50,000",Sheldon Whitehouse,Self
2015-01-26,2015-03-12,BK,sell,"$1,001 - $15,000","David A Perdue , Jr",Joint
2015-01-26,2015-03-12,HBI,buy,"$1,001 - $15,000",Thomas R Carper,Spouse
2015-01-27,2015-03-13,KN,buy,"$1,001 - $15,000","David A Perdue , Jr",Joint
2015-01-27,2015-03-13,TAP,sell,"$1,001 - $15,000","David A Perdue , Jr",Joint
2015-01-27,2015-03-13,NFLX,buy,"$15,001 - $50,000",Pat Roberts,Spouse
2015-01-28,2015-03-14,BIDU,buy,"$15,001 - $50,000",Pat Roberts,Spouse
2015-01-28,2015-03-14,AAPL,buy,"$1,001 - $15,000",Pat Roberts,Spouse
2015-01-28,2015-03-14,TGT,sell,"$1,001 - $15,000",Thomas R Carper,Spouse
2015-01-29,2015-03-15,TAP,sell,"$1,001 - $15,000","David A Perdue , Jr",Joint
2015-01-29,2015-03-15,ZTS,sell,"$1,001 - $15,000","David A Perdue , Jr",Joint
2015-01-30,2015-03-16,ZTS,sell,"$15,001 - $50,000","David A Perdue , Jr",Joint
2015-01-30,2015-03-16,XLV,buy,"$1,001 - $15,000",Patrick J Toomey,Spouse
2015-01-30,2015-03-16,XLU,buy,"$1,001 - $15,000",Patrick J Toomey,Spouse
2015-01-30,2015-03-16,QQQ,sell,"$1,001 - $15,000",Patrick J Toomey,Spouse
2015-01-30,2015-03-16,SPY,sell,"$15,001 - $50,000",Patrick J Toomey,Spouse
2015-02-02,2015-03-19,WPZ,sell,"$1,001 - $15,000","David A Perdue , Jr",Joint
2015-02-03,2015-03-20,TAP,sell,"$1,001 - $15,000","David A Perdue , Jr",Joint
2015-02-03,2015-03-20,PAGP,buy,"$50,001 - $100,000",Rafael E Cruz,Joint
2015-02-04,2015-03-21,TAP,sell,"$1,001 - $15,000","David A Perdue , Jr",Joint
2015-02-04,2015-03-21,AAN,sell,"$1,001 - $15,000","David A Perdue , Jr",Joint
2015-02-04,2015-03-21,AAN,sell,"$1,001 - $15,000","David A Perdue , Jr",Joint
2015-02-05,2015-03-22,AAN,sell,"$1,001 - $15,000","David A Perdue , Jr",Joint
2015-02-05,2015-03-22,KN,buy,"$1,001 - $15,000","David A Perdue , Jr",Joint
2015-02-05,2015-03-22,CBS,buy,"$1,001 - $15,000","David A Perdue , Jr",Joint
2015-02-05,2015-03-22,CIT,buy,"$1,001 - $15,000","David A Perdue , Jr",Joint
2015-02-05,2015-03-22,DVN,buy,"$1,001 - $15,000",Pat Roberts,Spouse
2015-02-05,2015-03-22,GM,buy,"$1,001 - $15,000",Pat Roberts,Spouse
2015-02-05,2015-03-22,CELG,buy,"$1,001 - $15,000",Pat Roberts,Spouse
