ticker,name_cn,sector
GME,游戏驿站,meme
AMC,AMC院线,meme
MSTR,MicroStrategy,加密
COIN,Coinbase,加密
MARA,Marathon数字,加密矿
RIOT,Riot平台,加密矿
CLSK,CleanSpark,加密矿
WULF,TeraWulf,加密矿
HOOD,Robinhood,券商
SOFI,SoFi,金融科技
AFRM,Affirm,金融科技
UPST,Upstart,金融科技
PLTR,Palantir,科技
RBLX,Roblox,游戏
DKNG,DraftKings,博彩
RIVN,Rivian,电动车
LCID,Lucid,电动车
CHPT,ChargePoint,充电
SMCI,超微电脑,AI硬件
IONQ,IonQ,量子
RGTI,Rigetti,量子
QBTS,D-Wave,量子
ASTS,AST太空,卫星
RKLB,Rocket Lab,火箭
DNA,Ginkgo,合成生物
OPEN,Opendoor,地产科技
BBAI,BigBear AI,AI
SOUN,SoundHound,语音AI
LUNR,Intuitive Machines,航天
ACHR,Archer,飞行汽车
